iter	Passed	Remaining
170	1292	6266
171	1298	6252
172	1304	6237
173	1311	6224
174	1316	6205
175	1322	6190
176	1327	6174
177	1334	6160
178	1339	6144
179	1344	6122
180	1350	6109
181	1356	6096
182	1362	6081
183	1367	6063
184	1373	6050
185	1380	6043
186	1386	6028
187	1391	6011
188	1398	5999
189	1402	5980
190	1407	5963
191	1413	5947
192	1417	5928
193	1422	5909
194	1427	5892
195	1433	5879
196	1437	5860
197	1442	5843
198	1447	5826
199	1452	5808
200	1456	5790
201	1461	5775
202	1467	5760
203	1471	5742
204	1477	5727
205	1482	5712
206	1486	5696
207	1492	5681
208	1496	5665
209	1501	5648
210	1506	5633
211	1511	5617
212	1515	5600
213	1520	5584
214	1525	5569
215	1530	5554
216	1534	5537
217	1540	5524
218	1545	5511
219	1550	5495
220	1555	5483
221	1561	5473
222	1566	5458
223	1571	5444
224	1576	5429
225	1580	5414
226	1585	5399
227	1590	5386
228	1595	5372
229	1600	5359
230	1605	5346
231	1611	5336
232	1616	5322
233	1623	5314
234	1630	5307
235	1636	5299
236	1642	5288
237	1649	5280
238	1654	5269
239	1660	5258
240	1668	5256
241	1674	5243
242	1680	5235
243	1686	5226
244	1691	5212
245	1698	5205
246	1704	5195
247	1709	5183
248	1715	5173
249	1720	5161
250	1725	5149
251	1731	5138
252	1736	5125
253	1741	5114
254	1746	5103
255	1751	5089
256	1756	5077
257	1762	5069
258	1767	5056
259	1773	5047
260	1778	5035
261	1783	5024
262	1788	5010
263	1793	4999
264	1798	4989
265	1803	4976
266	1808	4964
267	1814	4957
268	1820	4945
269	1824	4934
270	1829	4922
271	1834	4909
272	1839	4897
273	1844	4887
274	1850	4877
275	1854	4865
276	1860	4855
277	1865	4843
278	1869	4830
279	1874	4820
280	1879	4809
281	1884	4797
282	1889	4787
283	1894	4776
284	1899	4764
285	1904	4754
286	1909	4743
287	1914	4732
288	1918	4720
289	1924	4710
290	1929	4700
291	1933	4689
292	1939	4679
293	1944	4670
294	1950	4660
295	1956	4653
296	1962	4644
297	1969	4638
298	1975	4631
299	1981	4624
300	1987	4615
301	1994	4609
302	2001	4602
303	2008	4597
304	2014	4589
305	2018	4577
306	2023	4567
307	2028	4558
308	2034	4548
309	2038	4537
310	2043	4527
311	2048	4517
312	2053	4506
313	2058	4497
314	2063	4487
315	2068	4477
316	2073	4468
317	2079	4458
318	2083	4448
319	2088	4438
320	2093	4428
321	2098	4418
322	2103	4408
323	2108	4398
324	2113	4389
325	2118	4379
326	2123	4369
327	2129	4362
328	2134	4352
329	2139	4342
330	2145	4335
331	2150	4326
332	2154	4315
333	2159	4306
334	2164	4296
335	2169	4287
336	2178	4285
337	2184	4277
338	2189	4268
339	2197	4265
340	2203	4258
341	2209	4250
342	2213	4240
343	2218	4231
344	2223	4221
345	2228	4211
346	2233	4202
347	2238	4193
348	2242	4183
349	2247	4174
350	2253	4166
351	2258	4157
352	2263	4149
353	2269	4141
354	2274	4132
355	2279	4123
356	2284	4114
357	2289	4105
358	2294	4096
359	2299	4087
360	2304	4079
361	2309	4070
362	2314	4061
363	2320	4053
364	2325	4046
365	2329	4036
366	2335	4027
367	2340	4019
368	2345	4010
369	2349	4000
370	2354	3992
371	2359	3983
372	2364	3974
373	2370	3967
374	2375	3959
375	2380	3951
376	2388	3947
377	2393	3939
378	2399	3930
379	2404	3923
380	2408	3913
381	2414	3905
382	2419	3897
383	2424	3888
384	2428	3879
385	2434	3871
386	2439	3863
387	2443	3854
388	2449	3846
389	2454	3839
390	2459	3830
391	2464	3822
392	2469	3814
393	2474	3805
394	2479	3798
395	2484	3790
396	2489	3781
397	2494	3773
398	2500	3765
399	2504	3757
400	2509	3748
401	2514	3741
402	2519	3732
403	2525	3725
404	2529	3716
405	2535	3709
406	2540	3700
407	2545	3692
408	2550	3684
409	2554	3676
410	2560	3669
411	2566	3662
412	2570	3653
413	2577	3648
414	2582	3640
415	2586	3631
416	2591	3623
417	2596	3615
418	2601	3606
419	2606	3598
420	2610	3590
421	2616	3583
422	2622	3576
423	2627	3569
424	2633	3562
425	2638	3555
426	2643	3547
427	2649	3540
428	2654	3533
429	2660	3526
430	2665	3519
431	2670	3511
432	2677	3505
433	2681	3497
434	2686	3489
435	2691	3481
436	2696	3474
437	2701	3465
438	2706	3458
439	2711	3451
440	2716	3443
441	2721	3435
442	2727	3428
443	2731	3421
444	2736	3413
445	2742	3406
446	2747	3399
447	2752	3391
448	2758	3384
449	2763	3377
450	2773	3376
451	2780	3371
452	2788	3366
453	2794	3361
454	2800	3354
455	2806	3347
456	2811	3340
457	2817	3334
458	2824	3329
459	2831	3323
460	2837	3317
461	2843	3310
462	2849	3305
463	2855	3298
464	2862	3293
465	2868	3286
466	2873	3279
467	2880	3274
468	2886	3267
469	2891	3260
470	2897	3254
471	2904	3249
472	2911	3243
473	2917	3237
474	2923	3231
475	2931	3226
476	2937	3220
477	2942	3212
478	2948	3207
479	2955	3201
480	2961	3195
481	2968	3190
482	2974	3183
483	2979	3176
484	2984	3169
485	2990	3162
486	2997	3157
487	3003	3151
488	3008	3144
489	3014	3137
490	3022	3132
491	3027	3126
492	3033	3119
493	3038	3112
494	3044	3105
495	3049	3098
496	3054	3091
497	3059	3083
498	3065	3077
499	3070	3070
500	3076	3064
501	3081	3057
502	3086	3049
503	3092	3042
504	3097	3036
505	3103	3030
506	3109	3023
507	3114	3016
508	3120	3009
509	3126	3003
510	3130	2995
511	3136	2989
512	3141	2982
513	3147	2976
514	3152	2968
515	3158	2962
516	3164	2956
517	3168	2948
518	3173	2941
519	3179	2935
520	3185	2929
521	3191	2922
522	3196	2915
523	3203	2909
524	3208	2903
525	3214	2896
526	3219	2889
527	3226	2883
528	3231	2877
529	3237	2870
530	3242	2863
531	3248	2857
532	3254	2851
533	3259	2844
534	3264	2837
535	3271	2831
536	3276	2825
537	3282	2818
538	3287	2811
539	3293	2805
540	3299	2799
541	3304	2792
542	3311	2786
543	3316	2780
544	3322	2773
545	3327	2766
546	3332	2760
547	3339	2754
548	3345	2748
549	3350	2741
550	3356	2734
551	3362	2729
552	3368	2722
553	3374	2716
554	3380	2710
555	3386	2703
556	3391	2697
557	3396	2690
558	3402	2683
559	3409	2679
560	3416	2673
561	3421	2666
562	3427	2660
563	3435	2655
564	3441	2649
565	3447	2643
566	3454	2637
567	3460	2631
568	3466	2626
569	3472	2619
570	3479	2614
571	3486	2608
572	3491	2601
573	3498	2596
574	3504	2590
575	3511	2584
576	3516	2578
577	3523	2572
578	3529	2566
579	3537	2561
580	3543	2555
581	3550	2550
582	3555	2543
583	3561	2536
584	3566	2530
585	3571	2523
586	3576	2516
587	3580	2508
588	3585	2502
589	3590	2495
590	3595	2487
591	3600	2481
592	3605	2474
593	3610	2467
594	3615	2460
595	3619	2453
596	3624	2446
597	3629	2439
598	3634	2432
599	3639	2426
600	3643	2419
601	3651	2414
602	3657	2408
603	3663	2401
604	3668	2395
605	3673	2388
606	3678	2381
607	3683	2375
608	3688	2368
609	3693	2361
610	3698	2354
611	3703	2348
612	3707	2340
613	3712	2334
614	3718	2327
615	3722	2320
616	3728	2314
617	3734	2308
618	3738	2301
619	3744	2295
620	3750	2288
621	3754	2281
622	3760	2275
623	3765	2269
624	3770	2262
625	3775	2255
626	3780	2248
627	3798	2249
628	3804	2243
629	3812	2239
630	3818	2233
631	3826	2228
632	3833	2222
633	3838	2216
634	3844	2209
635	3850	2203
636	3855	2197
637	3861	2191
638	3868	2185
639	3873	2178
640	3880	2173
641	3887	2167
642	3893	2161
643	3898	2155
644	3904	2148
645	3911	2143
646	3918	2137
647	3925	2132
648	3932	2127
649	3939	2121
650	3945	2115
651	3952	2109
652	3959	2103
653	3966	2098
654	3971	2091
655	3977	2085
656	3983	2079
657	3990	2073
658	3995	2067
659	4003	2062
660	4010	2056
661	4015	2050
662	4021	2043
663	4026	2037
664	4033	2031
665	4039	2025
666	4045	2019
667	4051	2013
668	4058	2008
669	4064	2002
670	4071	1996
671	4077	1990
672	4083	1983
673	4088	1977
674	4095	1971
675	4100	1965
676	4106	1959
677	4113	1953
678	4118	1947
679	4124	1940
680	4129	1934
681	4135	1928
682	4140	1921
683	4146	1915
684	4152	1909
685	4159	1903
686	4166	1898
687	4172	1892
688	4180	1886
689	4185	1880
690	4192	1874
691	4199	1869
692	4204	1862
693	4211	1856
694	4216	1850
695	4224	1845
696	4231	1839
697	4237	1833
698	4243	1827
699	4248	1820
700	4255	1814
701	4261	1809
702	4267	1802
703	4273	1796
704	4278	1790
705	4285	1784
706	4291	1778
707	4297	1772
708	4304	1766
709	4311	1761
710	4319	1755
711	4326	1749
712	4331	1743
713	4337	1737
714	4342	1730
715	4348	1725
716	4355	1719
717	4360	1712
718	4367	1706
719	4374	1701
720	4381	1695
721	4386	1689
722	4393	1683
723	4399	1677
724	4404	1670
725	4410	1664
726	4416	1658
727	4422	1652
728	4429	1646
729	4435	1640
730	4441	1634
731	4448	1628
732	4453	1622
733	4459	1616
734	4465	1609
735	4471	1603
736	4477	1597
737	4483	1591
738	4489	1585
739	4495	1579
740	4500	1573
741	4506	1566
742	4511	1560
743	4516	1553
744	4520	1547
745	4526	1541
746	4531	1534
747	4536	1528
748	4541	1521
749	4546	1515
750	4551	1509
751	4556	1502
752	4562	1496
753	4568	1490
754	4574	1484
755	4580	1478
756	4587	1472
757	4593	1466
758	4598	1460
759	4605	1454
760	4612	1448
761	4618	1442
762	4625	1436
763	4631	1430
764	4637	1424
765	4644	1418
766	4651	1413
767	4656	1406
768	4662	1400
769	4668	1394
770	4673	1388
771	4679	1381
772	4685	1376
773	4693	1370
774	4719	1370
775	4727	1364
776	4737	1359
777	4747	1354
778	4754	1348
779	4762	1343
780	4767	1336
781	4776	1331
782	4783	1325
783	4789	1319
784	4798	1314
785	4804	1308
786	4811	1302
787	4819	1296
788	4828	1291
789	4834	1285
790	4843	1279
791	4850	1273
792	4857	1267
793	4863	1261
794	4868	1255
795	4878	1250
796	4884	1244
797	4890	1237
798	4898	1232
799	4904	1226
800	4911	1220
801	4917	1214
802	4923	1207
803	4929	1201
804	4934	1195
805	4940	1189
806	4945	1182
807	4950	1176
808	4956	1170
809	4962	1163
810	4966	1157
811	4972	1151
812	4978	1145
813	4982	1138
814	4987	1132
815	4992	1125
816	4997	1119
817	5002	1113
818	5007	1106
819	5011	1100
820	5017	1093
821	5022	1087
822	5027	1081
823	5032	1074
824	5036	1068
825	5041	1062
826	5046	1055
827	5051	1049
828	5056	1043
829	5061	1036
830	5067	1030
831	5073	1024
832	5077	1017
833	5082	1011
834	5087	1005
835	5092	999
836	5097	992
837	5103	986
838	5107	980
839	5112	973
840	5117	967
841	5121	961
842	5126	954
843	5131	948
844	5136	942
845	5140	935
846	5146	929
847	5151	923
848	5155	916
849	5160	910
850	5165	904
851	5170	898
852	5174	891
853	5179	885
854	5184	879
855	5189	872
856	5194	866
857	5198	860
858	5203	854
859	5208	847
860	5213	841
861	5219	835
862	5225	829
863	5230	823
864	5235	817
865	5242	811
866	5248	805
867	5253	798
868	5259	792
869	5266	786
870	5273	781
871	5280	775
872	5285	768
873	5292	762
874	5298	756
875	5304	750
876	5311	744
877	5317	738
878	5324	732
879	5330	726
880	5336	720
881	5342	714
882	5348	708
883	5354	702
884	5359	696
885	5365	690
886	5371	684
887	5377	678
888	5382	672
889	5389	666
890	5394	659
891	5401	653
892	5406	647
893	5412	641
894	5418	635
895	5423	629
896	5429	623
897	5435	617
898	5440	611
899	5448	605
900	5454	599
901	5460	593
902	5466	587
903	5473	581
904	5480	575
905	5486	569
906	5491	563
907	5498	557
908	5504	551
909	5511	545
910	5517	539
911	5522	532
912	5529	526
913	5535	520
914	5541	514
915	5563	510
916	5568	504
917	5575	498
918	5582	492
919	5589	486
920	5595	479
921	5602	473
922	5609	468
923	5615	461
924	5621	455
925	5626	449
926	5632	443
927	5638	437
928	5643	431
929	5649	425
930	5654	419
931	5658	412
932	5664	406
933	5669	400
934	5674	394
935	5680	388
936	5686	382
937	5690	376
938	5696	370
939	5701	363
940	5706	357
941	5712	351
942	5717	345
943	5722	339
944	5727	333
945	5732	327
946	5737	321
947	5755	315
948	5760	309
949	5765	303
950	5770	297
951	5775	291
952	5780	285
953	5785	278
954	5791	272
955	5796	266
956	5801	260
957	5806	254
958	5811	248
959	5817	242
960	5823	236
961	5828	230
962	5834	224
963	5839	218
964	5845	211
965	5849	205
966	5855	199
967	5860	193
968	5866	187
969	5871	181
970	5877	175
971	5882	169
972	5887	163
973	5892	157
974	5897	151
975	5902	145
976	5908	139
977	5913	133
978	5918	126
979	5924	120
980	5928	114
981	5934	108
982	5939	102
983	5945	96
984	5950	90
985	5955	84
986	5960	78
987	5965	72
988	5970	66
989	5976	60
990	5980	54
991	5985	48
992	5991	42
993	5996	36
994	6001	30
995	6006	24
996	6011	18
997	6016	12
998	6022	6
999	6028	0
